epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.93425,0.48448,2.49591,1.09288,0.10984,0.33333,0.08571,0.06509,0.25795,2.90538,0.86367,2e-05,2e-05,2e-05
2,7.36744,0.49941,2.22599,1.11226,0.10442,0.25,0.10774,0.07756,0.24273,2.90715,0.84084,5.802e-05,5.802e-05,5.802e-05
3,8.38684,0.53548,2.73079,1.15484,0.10985,0.25,0.10826,0.07963,0.24537,2.88414,0.8522,9.34e-05,9.34e-05,9.34e-05
4,9.44291,0.64201,2.0629,1.25145,1,0.91667,0.995,0.94182,0.25728,2.89649,0.80091,0.00012614,0.00012614,0.00012614
5,10.8464,0.43243,1.01035,1.02465,1,0.83333,0.98885,0.88105,0.39939,2.25314,0.89753,0.00015624,0.00015624,0.00015624
6,12.0187,0.39767,0.6128,0.9704,1,1,0.995,0.95141,0.26917,2.37958,0.79799,0.0001837,0.0001837,0.0001837
7,13.2164,0.39341,0.55622,0.8858,0.92308,1,0.96346,0.87449,0.39763,5.01809,1.00548,0.00020852,0.00020852,0.00020852
8,14.1448,0.42493,0.69527,0.92494,1,1,0.995,0.89251,0.34125,3.87651,0.93877,0.0002307,0.0002307,0.0002307
9,14.9962,0.42202,0.53579,0.91143,1,1,0.995,0.93496,0.35073,1.97095,0.87406,0.00025024,0.00025024,0.00025024
10,15.7888,0.46037,0.64508,0.9953,0.96779,1,0.995,0.95753,0.51326,2.09315,0.92821,0.00026714,0.00026714,0.00026714
11,16.6041,0.41816,0.57747,0.96323,0.91962,1,0.995,0.995,0.28072,0.78135,0.80247,0.0002814,0.0002814,0.0002814
12,17.4096,0.37851,0.52111,0.88703,0.95548,1,0.995,0.95042,0.28556,1.20024,0.80156,0.00029302,0.00029302,0.00029302
13,18.1291,0.38451,0.5258,0.93333,0.97144,1,0.995,0.97336,0.26674,1.07556,0.79425,0.000302,0.000302,0.000302
14,18.8283,0.41052,0.46449,0.93246,0.73203,1,0.995,0.93372,0.28722,1.31992,0.81171,0.00030834,0.00030834,0.00030834
15,19.5415,0.3936,0.45638,0.93587,1,0.91667,0.995,0.91924,0.34639,3.32999,0.87543,0.00031204,0.00031204,0.00031204
16,20.263,0.39994,0.41268,0.90193,1,1,0.995,0.88684,0.342,3.4034,0.89216,0.0003131,0.0003131,0.0003131
17,20.9535,0.35203,0.37024,0.87446,1,0.89028,0.995,0.86164,0.42237,2.89198,0.97101,0.00031152,0.00031152,0.00031152
18,21.7981,0.45445,0.4617,0.95999,0.9543,1,0.995,0.8674,0.39225,1.40006,0.96255,0.0003073,0.0003073,0.0003073
19,22.505,0.45892,0.52736,0.99192,0.89428,0.83333,0.93059,0.79976,0.4565,1.39216,0.967,0.00030044,0.00030044,0.00030044
20,23.2051,0.43015,0.46099,0.95043,0.9019,1,0.98885,0.9261,0.32475,1.33797,0.8617,0.00029094,0.00029094,0.00029094
21,27.2736,0.3629,0.48324,0.85143,1,0.91667,0.995,0.96504,0.31063,2.03681,0.85367,0.0002788,0.0002788,0.0002788
